corpus_id,case_id,source_id,family,crop_tag,crop_x,crop_y,hr_width,hr_height,lr_width,lr_height,scale,input_protocol,reference_path,input_path,sha256_reference,sha256_input
PTAR-PERCEPTUAL-V1-B-GRID,SKI-BRICK-A,SKI-BRICK,texture,A,22,34,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-BRICK-A_HR.png,input_lr/SKI-BRICK-A_LR.png,9e01889693731c74f3201d538397b907ff495bbb38c7d1c8807010df01448b56,37bd081b1660914b0eb254297d7f368c806b106f5a6d3cb35958238e9d3a5841
PTAR-PERCEPTUAL-V1-B-GRID,SKI-BRICK-B,SKI-BRICK,texture,B,112,112,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-BRICK-B_HR.png,input_lr/SKI-BRICK-B_LR.png,ff8a549b57220d4f83a9d75488acdf5c932ffc18af46b1c95dc5008f44e938e2,cd5a27c37de4817f1415acfec0d6dfdf0c0fa82d798bd36f262c65b023335a19
PTAR-PERCEPTUAL-V1-B-GRID,SKI-BRICK-C,SKI-BRICK,texture,C,202,190,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-BRICK-C_HR.png,input_lr/SKI-BRICK-C_LR.png,b0ba3037a26bdaf9362ad7eb38c9189e309734dc6af4679fa249e2863892fc6b,eb6f10dec4bc7107230e5e61d5c532c6a5fd45cf7e77659c4ae086386a58205e
PTAR-PERCEPTUAL-V1-B-GRID,SKI-CAMERA-A,SKI-CAMERA,natural_gray,A,22,34,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-CAMERA-A_HR.png,input_lr/SKI-CAMERA-A_LR.png,2da152b083d5a6829b8e410eeb4a8155af5f3f8778ecfd2da258f1b59bd08763,772567e533b515bf5dd99123ed2af25e728eaefbd0a3f12241c1be5c91f8aaab
PTAR-PERCEPTUAL-V1-B-GRID,SKI-CAMERA-B,SKI-CAMERA,natural_gray,B,112,112,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-CAMERA-B_HR.png,input_lr/SKI-CAMERA-B_LR.png,4488ca63535eab04e9edd7fffc116247f978125b7acbd8eb57bb30aec9a52b6e,89193bc923c565b2b702efd04f397f4fc4f57be0e5f21dded86509a4f6f28ada
PTAR-PERCEPTUAL-V1-B-GRID,SKI-CAMERA-C,SKI-CAMERA,natural_gray,C,202,190,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-CAMERA-C_HR.png,input_lr/SKI-CAMERA-C_LR.png,02ba7be501fc9cc35f9f8bbe2951f4e60f0251dc7b2c2ec15357ccdf6661f008,9fd1ed268a066c0e4325e8fa885ea10ee4cbec2d1866459d27055cf00aa907a8
PTAR-PERCEPTUAL-V1-B-GRID,SKI-GRASS-A,SKI-GRASS,foliage_texture,A,22,34,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-GRASS-A_HR.png,input_lr/SKI-GRASS-A_LR.png,bc6fa6e10a951f2570d07e0c12ef6e7854fa4df95ca3adc5d7545a83b14b2afe,0833e12120f6f0b97f44655bdc6b17e01fba100cbb26817cdc547982b64f5883
PTAR-PERCEPTUAL-V1-B-GRID,SKI-GRASS-B,SKI-GRASS,foliage_texture,B,112,112,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-GRASS-B_HR.png,input_lr/SKI-GRASS-B_LR.png,a1183cf4e008365a462e4d6938f71f55221ca397bdd8236c8ccada0aa61e9e09,c68de6fe686e936c53cdfea8a2e6dcb1d138ef7b5b733ef34b93556fdf2e7dac
PTAR-PERCEPTUAL-V1-B-GRID,SKI-GRASS-C,SKI-GRASS,foliage_texture,C,202,190,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-GRASS-C_HR.png,input_lr/SKI-GRASS-C_LR.png,0e10ded595e20b5b715c4297635e0ce2b93fbff4d43e9fa60d1c97bda4a7ada4,e0a9774bf08469b8a03fd3d325356c40cd53f5a10da8163fc3882177466f884f
PTAR-PERCEPTUAL-V1-B-GRID,SKI-GRAVEL-A,SKI-GRAVEL,repeated_texture,A,22,34,288,288,192,192,1.5,PTAR_GRID_LANCZOS3_V1_SCALE1P5_ORIGIN0,reference_hr/SKI-GRAVEL-A_HR.png,input_lr/SKI-GRAVEL-A_LR.png,6bbbd22f39f5d32dc661b27525475b064566f513509f29e8d93ca572c981e06d,0344bd8e1920602e7728c4a43c100cb712995d89f28eadb873c5c2a3754188d6
